"sample_id" "coord_x" "coord_y" "clay" "carbon" "ecec"
"sm-dnos-244" 227802.013043266 6718479.87045889 83 13.5135135135135 7.5
"sm-dnos-245" 227853.645497882 6718169.50492666 78 7.20720720720721 5.1
"sm-dnos-246" 228151.283681124 6718324.71578355 71 5.40540540540541 2
"sm-dnos-247" 228383.494164776 6718288.63319728 101 18.9189189189189 12.2
"sm-dnos-248" 227913.53827807 6717866.10692566 90 9.00900900900901 5.7
"sm-dnos-249" 228192.393584318 6720151.26691146 155 30.6306306306306 44.9
"sm-dnos-250" 228835.92754297 6720535.70030729 343 17.1171171171171 5.6
"sm-dnos-251" 228406.852238212 6720361.46967914 340 18.018018018018 5.9
"sm-dnos-252" 227979.892652529 6721019.95410382 364 22.5225225225225 5.4
"sm-dnos-253" 227468.880299985 6721325.27411313 323 23.4234234234234 4.9
"sm-dnos-254" 227710.000136388 6721456.0408245 253 22.5225225225225 4.1
"sm-dnos-255" 227902.022674742 6721292.96399783 319 18.9189189189189 4.6
"sm-dnos-256" 228525.866147467 6720654.66721398 287 23.4234234234234 4.7
"sm-dnos-257" 228629.92666203 6720973.23794824 304 23.4234234234234 5.4
"sm-dnos-258" 227799.095122315 6719745.910856 149 37.8378378378378 27.5
"sm-dnos-259" 228622.979553111 6721501.00819471 470 23.4234234234234 8.8
"sm-dnos-260" 228505.016272204 6721263.97165566 307 26.1261261261261 4.9
"sm-dnos-261" 228720.070537051 6721751.51618133 496 28.8288288288288 9.3
"sm-dnos-262" 228948.975755319 6721566.01780397 387 22.5225225225225 5.8
"sm-dnos-263" 229156.972154148 6721390.99332819 324 18.018018018018 5.3
"sm-dnos-264" 228867.031988806 6721278.27127542 254 16.2162162162162 5.6
"sm-dnos-265" 228226.307091226 6721160.15678397 367 23.4234234234234 5.1
"sm-dnos-266" 228246.093376349 6721411.90391926 303 44.1441441441441 7.7
"sm-dnos-267" 228320.771390473 6720866.02589 265 81.981981981982 9.8
"sm-dnos-268" 228035.731966097 6719176.89439757 169 15.3153153153153 9
"sm-dnos-269" 228286.70036967 6719339.39762568 187 26.1261261261261 11.1
